placement,condition_id,offline_type,workers,intensity,baseline_qps,qps,qps_degradation_pct,baseline_p99_ms,p99_ms,p99_slowdown,offline_cpuset,offline_mems
same_numa,ibench_membw_w4_a30,ibench_membw,4,30,"178,332","173,106",+2.93,92.415,95.231,1.03x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w4_a60,ibench_membw,4,60,"178,332","173,045",+2.96,92.415,95.231,1.03x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w4_a90,ibench_membw,4,90,"178,332","170,434",+4.43,92.415,95.231,1.03x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w6_a30,ibench_membw,6,30,"178,332","168,677",+5.41,92.415,97.791,1.06x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w6_a60,ibench_membw,6,60,"178,332","169,043",+5.21,92.415,97.279,1.05x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w6_a90,ibench_membw,6,90,"178,332","168,729",+5.38,92.415,97.279,1.05x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w8_a30,ibench_membw,8,30,"178,332","162,375",+8.95,92.415,100.863,1.09x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w8_a60,ibench_membw,8,60,"178,332","162,234",+9.03,92.415,101.375,1.10x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w8_a90,ibench_membw,8,90,"178,332","161,256",+9.58,92.415,101.887,1.10x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w1_a30,ibench_l3,1,30,"178,332","179,635",-0.73,92.415,92.159,1.00x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w1_a60,ibench_l3,1,60,"178,332","178,977",-0.36,92.415,92.159,1.00x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w1_a90,ibench_l3,1,90,"178,332","179,183",-0.48,92.415,92.159,1.00x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w2_a30,ibench_l3,2,30,"178,332","168,635",+5.44,92.415,97.791,1.06x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w2_a60,ibench_l3,2,60,"178,332","170,027",+4.66,92.415,97.279,1.05x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w2_a90,ibench_l3,2,90,"178,332","171,081",+4.07,92.415,96.255,1.04x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w4_a30,ibench_l3,4,30,"178,332","133,700",+25.03,92.415,123.391,1.34x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w4_a60,ibench_l3,4,60,"178,332","133,218",+25.30,92.415,123.391,1.34x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w4_a90,ibench_l3,4,90,"178,332","132,574",+25.66,92.415,123.903,1.34x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w6_a30,ibench_l3,6,30,"178,332","118,214",+33.71,92.415,138.239,1.50x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w6_a60,ibench_l3,6,60,"178,332","119,167",+33.18,92.415,138.239,1.50x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w6_a90,ibench_l3,6,90,"178,332","118,768",+33.40,92.415,138.239,1.50x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w8_a30,ibench_l3,8,30,"178,332","107,641",+39.64,92.415,152.575,1.65x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w8_a60,ibench_l3,8,60,"178,332","109,754",+38.46,92.415,149.503,1.62x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_l3_w8_a90,ibench_l3,8,90,"178,332","109,783",+38.44,92.415,149.503,1.62x,"16,17,18,19,20,21,22,23",0
cross_numa,ibench_cpu_w1_a30,ibench_cpu,1,30,"178,444","179,980",-0.86,92.159,91.647,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w1_a60,ibench_cpu,1,60,"178,444","181,376",-1.64,92.159,91.135,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w1_a90,ibench_cpu,1,90,"178,444","181,635",-1.79,92.159,90.623,0.98x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w2_a30,ibench_cpu,2,30,"178,444","182,207",-2.11,92.159,91.135,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w2_a60,ibench_cpu,2,60,"178,444","181,827",-1.90,92.159,91.135,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w2_a90,ibench_cpu,2,90,"178,444","180,277",-1.03,92.159,91.647,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w4_a30,ibench_cpu,4,30,"178,444","182,400",-2.22,92.159,90.111,0.98x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w4_a60,ibench_cpu,4,60,"178,444","182,514",-2.28,92.159,90.623,0.98x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w4_a90,ibench_cpu,4,90,"178,444","180,464",-1.13,92.159,91.647,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w6_a30,ibench_cpu,6,30,"178,444","181,934",-1.96,92.159,90.623,0.98x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w6_a60,ibench_cpu,6,60,"178,444","181,293",-1.60,92.159,91.135,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w6_a90,ibench_cpu,6,90,"178,444","181,072",-1.47,92.159,91.135,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w8_a30,ibench_cpu,8,30,"178,444","181,330",-1.62,92.159,90.623,0.98x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w8_a60,ibench_cpu,8,60,"178,444","181,496",-1.71,92.159,91.135,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_cpu_w8_a90,ibench_cpu,8,90,"178,444","181,514",-1.72,92.159,90.623,0.98x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w1_a30,ibench_membw,1,30,"178,444","181,420",-1.67,92.159,91.135,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w1_a60,ibench_membw,1,60,"178,444","181,688",-1.82,92.159,90.623,0.98x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w1_a90,ibench_membw,1,90,"178,444","181,293",-1.60,92.159,91.135,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w2_a30,ibench_membw,2,30,"178,444","180,808",-1.32,92.159,91.135,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w2_a60,ibench_membw,2,60,"178,444","180,923",-1.39,92.159,91.647,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w2_a90,ibench_membw,2,90,"178,444","179,942",-0.84,92.159,91.647,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w4_a30,ibench_membw,4,30,"178,444","179,112",-0.37,92.159,92.159,1.00x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w4_a60,ibench_membw,4,60,"178,444","178,486",-0.02,92.159,92.671,1.01x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w4_a90,ibench_membw,4,90,"178,444","178,945",-0.28,92.159,92.671,1.01x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w6_a30,ibench_membw,6,30,"178,444","176,150",+1.29,92.159,94.207,1.02x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w6_a60,ibench_membw,6,60,"178,444","176,330",+1.18,92.159,93.695,1.02x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w6_a90,ibench_membw,6,90,"178,444","176,128",+1.30,92.159,93.695,1.02x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w8_a30,ibench_membw,8,30,"178,444","172,208",+3.49,92.159,96.255,1.04x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w8_a60,ibench_membw,8,60,"178,444","172,086",+3.56,92.159,96.255,1.04x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_membw_w8_a90,ibench_membw,8,90,"178,444","171,148",+4.09,92.159,97.279,1.06x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w1_a30,ibench_l3,1,30,"178,444","180,014",-0.88,92.159,91.647,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w1_a60,ibench_l3,1,60,"178,444","180,064",-0.91,92.159,92.159,1.00x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w1_a90,ibench_l3,1,90,"178,444","180,236",-1.00,92.159,91.647,0.99x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w2_a30,ibench_l3,2,30,"178,444","168,396",+5.63,92.159,98.303,1.07x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w2_a60,ibench_l3,2,60,"178,444","170,429",+4.49,92.159,97.279,1.06x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w2_a90,ibench_l3,2,90,"178,444","172,314",+3.44,92.159,95.743,1.04x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w4_a30,ibench_l3,4,30,"178,444","151,316",+15.20,92.159,110.591,1.20x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w4_a60,ibench_l3,4,60,"178,444","149,942",+15.97,92.159,106.495,1.16x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w4_a90,ibench_l3,4,90,"178,444","150,828",+15.48,92.159,108.031,1.17x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w6_a30,ibench_l3,6,30,"178,444","131,588",+26.26,92.159,100.863,1.09x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w6_a60,ibench_l3,6,60,"178,444","133,367",+25.26,92.159,99.327,1.08x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w6_a90,ibench_l3,6,90,"178,444","148,768",+16.63,92.159,100.863,1.09x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w8_a30,ibench_l3,8,30,"178,444","125,868",+29.46,92.159,105.471,1.14x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w8_a60,ibench_l3,8,60,"178,444","137,977",+22.68,92.159,104.447,1.13x,"48,49,50,51,52,53,54,55",1
cross_numa,ibench_l3_w8_a90,ibench_l3,8,90,"178,444","122,740",+31.22,92.159,104.447,1.13x,"48,49,50,51,52,53,54,55",1
same_smt,ibench_cpu_w1_a30,ibench_cpu,1,30,"179,693","173,438",+3.48,91.647,95.231,1.04x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w1_a60,ibench_cpu,1,60,"179,693","176,377",+1.85,91.647,93.695,1.02x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w1_a90,ibench_cpu,1,90,"179,693","177,408",+1.27,91.647,93.183,1.02x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w2_a30,ibench_cpu,2,30,"179,693","173,963",+3.19,91.647,94.719,1.03x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w2_a60,ibench_cpu,2,60,"179,693","174,049",+3.14,91.647,95.231,1.04x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w2_a90,ibench_cpu,2,90,"179,693","171,758",+4.42,91.647,96.255,1.05x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w4_a30,ibench_cpu,4,30,"179,693","171,358",+4.64,91.647,96.255,1.05x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w4_a60,ibench_cpu,4,60,"179,693","172,296",+4.12,91.647,96.255,1.05x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w4_a90,ibench_cpu,4,90,"179,693","167,184",+6.96,91.647,96.767,1.06x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w6_a30,ibench_cpu,6,30,"179,693","171,981",+4.29,91.647,96.255,1.05x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w6_a60,ibench_cpu,6,60,"179,693","170,757",+4.97,91.647,96.767,1.06x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w6_a90,ibench_cpu,6,90,"179,693","172,438",+4.04,91.647,96.255,1.05x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w8_a30,ibench_cpu,8,30,"179,693","171,268",+4.69,91.647,96.767,1.06x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w8_a60,ibench_cpu,8,60,"179,693","171,004",+4.84,91.647,96.255,1.05x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_cpu_w8_a90,ibench_cpu,8,90,"179,693","171,963",+4.30,91.647,96.255,1.05x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w1_a30,ibench_membw,1,30,"179,693","177,020",+1.49,91.647,92.671,1.01x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w1_a60,ibench_membw,1,60,"179,693","177,289",+1.34,91.647,93.183,1.02x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w1_a90,ibench_membw,1,90,"179,693","176,723",+1.65,91.647,93.183,1.02x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w2_a30,ibench_membw,2,30,"179,693","172,521",+3.99,91.647,95.743,1.04x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w2_a60,ibench_membw,2,60,"179,693","172,529",+3.99,91.647,95.743,1.04x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w2_a90,ibench_membw,2,90,"179,693","171,900",+4.34,91.647,95.743,1.04x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w4_a30,ibench_membw,4,30,"179,693","163,849",+8.82,91.647,100.351,1.09x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w4_a60,ibench_membw,4,60,"179,693","163,590",+8.96,91.647,100.863,1.10x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w4_a90,ibench_membw,4,90,"179,693","163,443",+9.04,91.647,100.351,1.09x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w6_a30,ibench_membw,6,30,"179,693","154,160",+14.21,91.647,106.495,1.16x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w6_a60,ibench_membw,6,60,"179,693","153,241",+14.72,91.647,107.007,1.17x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w6_a90,ibench_membw,6,90,"179,693","153,142",+14.78,91.647,107.007,1.17x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w8_a30,ibench_membw,8,30,"179,693","142,748",+20.56,91.647,114.687,1.25x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w8_a60,ibench_membw,8,60,"179,693","142,600",+20.64,91.647,114.687,1.25x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_membw_w8_a90,ibench_membw,8,90,"179,693","139,772",+22.22,91.647,117.247,1.28x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w1_a30,ibench_l3,1,30,"179,693","177,916",+0.99,91.647,93.183,1.02x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w1_a60,ibench_l3,1,60,"179,693","177,843",+1.03,91.647,92.671,1.01x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w1_a90,ibench_l3,1,90,"179,693","177,569",+1.18,91.647,93.183,1.02x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w2_a30,ibench_l3,2,30,"179,693","166,741",+7.21,91.647,98.815,1.08x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w2_a60,ibench_l3,2,60,"179,693","167,603",+6.73,91.647,98.815,1.08x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w2_a90,ibench_l3,2,90,"179,693","168,301",+6.34,91.647,97.791,1.07x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w4_a30,ibench_l3,4,30,"179,693","123,936",+31.03,91.647,133.119,1.45x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w4_a60,ibench_l3,4,60,"179,693","123,823",+31.09,91.647,133.119,1.45x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w4_a90,ibench_l3,4,90,"179,693","120,685",+32.84,91.647,136.191,1.49x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w6_a30,ibench_l3,6,30,"179,693","101,020",+43.78,91.647,162.815,1.78x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w6_a60,ibench_l3,6,60,"179,693","100,535",+44.05,91.647,162.815,1.78x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w6_a90,ibench_l3,6,90,"179,693","101,478",+43.53,91.647,161.791,1.77x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w8_a30,ibench_l3,8,30,"179,693","80,692",+55.09,91.647,204.799,2.23x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w8_a60,ibench_l3,8,60,"179,693","82,310",+54.19,91.647,201.727,2.20x,"64,65,66,67,68,69,70,71",0
same_smt,ibench_l3_w8_a90,ibench_l3,8,90,"179,693","81,793",+54.48,91.647,202.751,2.21x,"64,65,66,67,68,69,70,71",0
